,PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,LATITUDE,LONGITUDE,PRICE,DAYS ON MARKET,COUNTY,median_sale_price,median_sale_ppsf,total_homes_sold,percent_homes_sold_with_price_drops,price_drops,inventory,total_active_listings,median_active_list_price
0,Single Family Residential,Stafford,22554,4.0,4.5,4348.0,11913.0,1999.0,82.0,38.4486472,-77.4155544,760000,17.0,STAFFORD COUNTY,,,,,,,,
1,Single Family Residential,Stafford,22554,4.0,3.0,1300.0,43838.0,2001.0,,38.4591603,-77.3496932,369000,1.0,STAFFORD COUNTY,,,,,,,,
2,Townhouse,Stafford,22554,4.0,3.5,2118.0,2121.0,2023.0,135.0,38.46732219,-77.42634193,542816,1.0,STAFFORD COUNTY,,,,,,,,
3,Single Family Residential,Stafford,22554,4.0,2.5,2928.0,136081.0,1984.0,,38.4289925,-77.3812269,849900,1.0,STAFFORD COUNTY,,,,,,,,
4,Single Family Residential,Stafford,22554,5.0,5.0,3650.0,7788.0,2018.0,138.0,38.441299,-77.4370964,695500,2.0,STAFFORD COUNTY,,,,,,,,
5,Townhouse,Stafford,22554,3.0,1.5,1414.0,2774.0,1976.0,45.0,38.4257691,-77.4111716,290000,2.0,STAFFORD COUNTY,,,,,,,,
6,Single Family Residential,Stafford,22554,4.0,2.5,2108.0,16295.0,1987.0,142.0,38.4449312,-77.3727052,475000,2.0,STAFFORD COUNTY,,,,,,,,
7,Single Family Residential,Stafford,22554,5.0,4.5,5565.0,7592.0,2015.0,135.0,38.4373807,-77.4285787,844900,2.0,STAFFORD COUNTY,,,,,,,,
8,Townhouse,Stafford,22554,2.0,2.5,1132.0,3114.0,1988.0,92.0,38.4866902,-77.38588,319900,2.0,STAFFORD COUNTY,,,,,,,,
9,Single Family Residential,Stafford,22554,5.0,4.0,3726.0,87120.0,2020.0,33.0,38.3721869,-77.3194971,699000,3.0,STAFFORD COUNTY,,,,,,,,
